0D29	G-BLFI	P28A
0D2B	G-BBHF	PA27
0D2D	G-RATV	P28U
0D2E	G-OTVR	PA34
0D37	G-NFLA	JS31
0D3A	G-ATSZ	PA30
0D3C	G-OVIN	AC11
0D3D	G-SIGN	PA30
0D41	G-JAKF	R44
0D43	G-SCOF	AS55
0D44	G-BOPA	P28A
0D45	G-OOTT	AS50
0D47	G-DASH	AC11
0D4F	G-BSRR	C182
0D50	G-TCEE	H500
0D53	G-TAMC	S330
0D56	G-BGXD	TOBA
0D58	G-ECLD	A346
0D59	G-OAFS	P32R
0D5A	G-DBCG	A319
0D5B	G-DBCH	A319
0D60	G-DAKT	P28B
0D64	G-PCOP	BE20
0D66	G-KITS	EUPA
0D68	G-RVNO	PA34
0D6D	G-HSTI	R44
0D72	G-SEEK	C210
0D74	G-AWUZ	C172
0D78	G-CHIP	P28A
0D7B	G-BOUM	PA34
0D7E	G-DHCC	DHC1
0D81	G-OPSS	SR20
0D83	G-APBW	AUS5
0D84	G-ELAM	PA30
0D85	G-ARRD	DR10
0D86	G-CCVM	RV7
0D89	G-MEDL	A321
0D8A	G-PEJM	P28A
0D8C	G-EZAB	A319
0D8D	G-EZAC	A319
0D91	G-EZAG	A319
0D93	G-KEEF	AC11
0D94	G-NWAA	EC35
0D95	G-ORPC	EUPA
0D9A	G-ROUS	PA34
0D9C	G-HAFT	DA42
0D9E	G-FCAC	DA42
0D9F	G-DMND	DA42
0DA3	G-ODHB	R44
0DA9	G-VGAG	SR20
0DAB	G-GDSG	A109
0DAD	G-EZAI	A319
0DAE	G-EZAJ	A319
0DB1	G-EZAN	A319
0DB2	G-EZAO	A319
0DB3	G-EZAP	A319
0DB4	G-EZAS	A319
0DB5	G-ENHP	EN48
0DB9	G-BFBR	P28A
0DBA	G-FJET	C550
0DBB	G-GOAC	PA34
0DBC	G-AZHB	HR10
0DBD	G-JANI	R44
0DC2	G-SASC	BE20
0DC3	G-SASD	BE20
0DC4	G-RUES	HR10
0DC5	G-IINI	RV9
0DC7	G-OLFT	AC11
0DCC	G-ZOOL	C152
0DCD	G-CDEO	P28A
0DCE	G-SHAR	C182
0DD0	G-IJAG	C182
0DD3	G-ORCD	A109
0DD4	G-CTCD	DA42
0DD5	G-OPFR	DA42
0DD8	G-CDSF	DA40
0DDF	G-CDTA	EV97
0DE0	G-SAJO	E145
0DE1	G-TESI	SIRA
0DE4	G-EDEE	C42
0DE5	G-HIJK	C421
0DE9	G-XXRS	GLEX
0DEB	G-OBSM	R44
0DED	G-RULE	R44
0DF2	G-IFTE	H25A
0DF9	G-VANA	GA8
0DFA	G-BXOZ	P28A
0DFC	G-EMAA	EC35
0E00	G-JAFS	P32R
0E01	G-OTNA	R44
0E02	G-JKAY	R44
0E04	G-BPKF	G115
0E07	G-MAJT	JS41
0E09	G-ECLB	A346
0E0B	G-PGGY	R44
0E0C	G-CDME	RV7
0E0F	G-TIMC	R44
0E11	G-UURO	EV97
0E13	G-EZAU	A319
0E14	G-EZAV	A319
0E15	G-FRAD	FA20
0E16	G-CTCB	DA42
0E17	G-DSKY	DA42
0E1B	G-HILO	AC11
0E1F	G-OFFO	E300
0E20	G-ZXCL	E300
0E21	G-ZXEL	E300
0E22	G-ZEXL	E300
0E28	G-CBUG	ECHO
0E2A	G-BFZD	C82R
0E2C	G-EGJA	TB20
0E2F	G-BEAG	PA34
0E30	G-BGFT	PA34
0E32	G-BORW	C172
0E33	G-DAVD	C172
0E35	G-JHAC	C150
0E3A	G-CDWK	R44
0E3B	G-JPJR	R44
0E3C	G-LVIE	R44
0E3F	G-ZZSE	EC25
0E43	G-TUCK	RV8
0E46	G-SCOL	GA8
0E48	G-TSDS	P32R
0E4A	G-GDFJ	B738
0E4C	G-ERFS	P28A
0E4E	G-LSAC	B752
0E51	G-MEDM	A321
0E52	G-EUNI	BE20
0E53	G-GRLW	JAB4
0E59	G-EZAW	A319
0E5A	G-EZAX	A319
0E5B	G-EZAY	A319
0E5E	G-AWNT	BN2P
0E5F	G-CDJN	RAF2
0E62	G-JPOT	P32R
0E63	G-DAYD	A109
0E69	G-BAPJ	C150
0E6A	G-HYLL	R44
0E6C	G-PSJS	R22
0E6D	G-XARV	ARV1
0E73	G-BOMS	C172
0E77	G-ZAPX	B752
0E7D	G-BPUM	C82R
0E80	G-IBMS	R44
0E82	G-OCON	R44
0E84	G-ELSE	DA42
0E85	G-DJET	DA42
0E86	G-OFZY	AS55
0E8A	G-ASIT	C180
0E8B	G-LEAH	PNR3
0E8E	G-BYWK	G115
0E8F	G-BYWL	G115
0E90	G-BYWM	G115
0E92	G-BYWO	G115
0E94	G-BYWR	G115
0E95	G-BYWS	G115
0E97	G-BYWU	G115
0E98	G-BYWV	G115
0E99	G-BYWW	G115
0E9B	G-BYWX	G115
0E9C	G-BYWY	G115
0E9D	G-BYWZ	G115
0E9E	G-BYXA	G115
0EA0	G-BYXC	G115
0EA1	G-BYXD	G115
0EA2	G-BYXE	G115
0EA3	G-BYXF	G115
0EA4	G-BYXG	G115
0EA5	G-BYXH	G115
0EA6	G-BYXI	G115
0EA7	G-BYXJ	G115
0EA8	G-BYXK	G115
0EA9	G-BYXL	G115
0EAA	G-BYXM	G115
0EAC	G-BYXO	G115
0EAD	G-BYXP	G115
0EAF	G-BYXS	G115
0EB0	G-BYXT	G115
0EB1	G-BYXX	G115
0EB3	G-BYXZ	G115
0EB4	G-BYYA	G115
0EB5	G-BYYB	G115
0EB6	G-BYWA	G115
0EB7	G-BYWB	G115
0EB8	G-BYWC	G115
0EB9	G-BYWD	G115
0EBB	G-BYWF	G115
0EBC	G-BYWG	G115
0EBD	G-BYWH	G115
0EBE	G-BYWI	G115
0EBF	G-BYWJ	G115
0EC0	G-HURI	HURI
0EC4	G-RAMS	P32R
0EC6	G-BYUB	G115
0EC7	G-BYUC	G115
0EC8	G-BYUD	G115
0EC9	G-BYUE	G115
0ECA	G-BYUF	G115
0ECC	G-BYUH	G115
0ECD	G-BYUI	G115
0ECE	G-BYUJ	G115
0ECF	G-BYUK	G115
0ED0	G-BYUL	G115
0ED1	G-BYUM	G115
0ED2	G-BYUN	G115
0ED3	G-BYUO	G115
0ED5	G-BYUR	G115
0ED6	G-BYUS	G115
0ED8	G-BYUU	G115
0ED9	G-BYUV	G115
0EDA	G-BYUW	G115
0EDB	G-BYUX	G115
0EDC	G-BYUY	G115
0EDD	G-BYUZ	G115
0EDE	G-BYVA	G115
0EDF	G-BYVB	G115
0EE0	G-BYVC	G115
0EE1	G-BYVD	G115
0EE2	G-BYVE	G115
0EE3	G-BYVF	G115
0EE4	G-BYVG	G115
0EE5	G-BYVH	G115
0EE6	G-BYVI	G115
0EE8	G-BYVK	G115
0EE9	G-BYVL	G115
0EEA	G-BYVM	G115
0EEC	G-BYVO	G115
0EED	G-BYVP	G115
0EEE	G-BYVR	G115
0EF1	G-BYVU	G115
0EF3	G-BYVW	G115
0EF5	G-BYVY	G115
0EF6	G-BYVZ	G115
0EF9	G-JURG	AC11
0EFA	G-EEEK	E200
0EFB	G-EZBA	A319
0EFC	G-EZBB	A319
0EFD	G-EZBC	A319
0EFE	G-EZBD	A319
0EFF	G-EZBE	A319
0F00	G-EZBF	A319
